127.0.0.1 - - [16/May/2021:02:50:20 -0500] "GET / HTTP/1.1" 404 637
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:50 -0500] "GET /generalSeguros/login HTTP/1.1" 200 4521
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:50 -0500] "GET /generalSeguros/login HTTP/1.1" 200 4521
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:52 -0500] "GET /generalSeguros/resources/img/gsLogoTrans.png HTTP/1.1" 200 27603
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:52 -0500] "GET /generalSeguros/resources/img/logoLight.png HTTP/1.1" 200 77130
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:52 -0500] "GET /generalSeguros/resources/img/gsLogoTrans.png HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:52 -0500] "GET /generalSeguros/resources/img/logoLight.png HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:52 -0500] "GET /generalSeguros/resources/css/application.css HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:52 -0500] "GET /generalSeguros/resources/css/application.css HTTP/1.1" 200 655699
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:54 -0500] "GET /generalSeguros/resources/css/fonts/google/open-sans.woff HTTP/1.1" 200 21956
0:0:0:0:0:0:0:1 - - [16/May/2021:02:50:54 -0500] "GET /generalSeguros/resources/css/fonts/google/open-sans-light.woff HTTP/1.1" 200 22656
0:0:0:0:0:0:0:1 - - [16/May/2021:02:51:12 -0500] "POST /generalSeguros/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2021:02:51:12 -0500] "GET /generalSeguros/home HTTP/1.1" 200 24434
0:0:0:0:0:0:0:1 - - [16/May/2021:02:51:12 -0500] "GET /generalSeguros/resources/img/gsLogoTrans.png HTTP/1.1" 200 27603
0:0:0:0:0:0:0:1 - - [16/May/2021:02:51:12 -0500] "GET /generalSeguros/resources/css/application.css HTTP/1.1" 200 655699
0:0:0:0:0:0:0:1 - - [16/May/2021:02:51:13 -0500] "GET /generalSeguros/resources/js/dist/jquery.min.js HTTP/1.1" 200 84380
